n	N	estimacion	estimacion_se	estimacion_low	estimacion_upp	se	ind	des	mes	CLASE	nivel	periodicidad	trim	orden	indice
70818	54227251.0000039	0.109239669145535	0.00241727530466873	0.104501815630938	0.113977522660133	0.002588621944863702	tsd	ratio	0	Nacional	13_ciudad	Trimestre	3	6	200
217339	152752061.999998	22701036.206611	362194.817932034	67393215.8678763	68813001.37179	81316.13719513394	tot_pob	total	0	Nacional	nacional	Trimestre	3	3	201
27765	34843036.9999957	4820508.51828807	175863.566082652	14116837.3795663	14806213.7301621	40865.24590641317	tot_pob	total	0	Rural	nacional	Trimestre	3	5	202
189574	117909025.000002	17880527.688323	327712.743996964	52999274.3124152	54283891.8175226	69135.146692261507	tot_pob	total	0	Urbano	nacional	Trimestre	3	4	203
87374	67121465.0000062	10647422.4217749	262874.743030488	31427035.0991096	32457499.4315398	55309.94818723224	tot_pob	total	0	Nacional	13_ciudad	Trimestre	3	6	204
217339	152752061.999998	2638122.2482737	126245.504845043	7666928.72412184	8161804.76552034	44254.217763469554	tot_deso	total	0	Nacional	nacional	Trimestre	3	3	205
27765	34843036.9999957	364731.468723187	46787.8668438962	1002491.3615439	1185897.45079522	18052.172308826055	tot_deso	total	0	Rural	nacional	Trimestre	3	5	206
189574	117909025.000002	2273390.77955051	117547.844374137	6589781.51416158	7050563.16314149	40346.77645850717	tot_deso	total	0	Urbano	nacional	Trimestre	3	4	207
87374	67121465.0000062	1305761.90061328	91045.4596570815	3738837.40793994	4095733.99573976	31291.86778908292	tot_deso	total	0	Nacional	13_ciudad	Trimestre	3	6	208
217339	152752061.999998	0.64266654370313	0.00199974968774251	0.638747084509424	0.646586002896836	0.0019202944224987928	tgp	ratio	0	Nacional	nacional	Trimestre	3	3	209
27765	34843036.9999957	0.615001376070062	0.00440469848058208	0.60636827760727	0.623634474532855	0.004565790324899818	tgp	ratio	0	Rural	nacional	Trimestre	3	5	210
189574	117909025.000002	0.650191568163717	0.00224199115165404	0.645797321781072	0.654585814546362	0.0020550163753206	tgp	ratio	0	Urbano	nacional	Trimestre	3	4	211
87374	67121465.0000062	0.661282884636029	0.00294464372785399	0.65551140903079	0.667054360241268	0.002798413573663049	tgp	ratio	0	Nacional	13_ciudad	Trimestre	3	6	212
170161	118284475.999998	14089000.2117811	269811.879532818	41738175.3072721	42795825.9634145	75713.67317699744	pffl	total	0	Nacional	nacional	Trimestre	3	3	213
20834	25293796.9999951	3246025.67965376	137487.647511895	9468604.28473304	10007549.7931895	38495.39120752657	pffl	total	0	Rural	nacional	Trimestre	3	5	214
149327	92990679.0000025	10842974.5321273	240039.1405277	32058452.179559	32999395.013205	63699.122699059895	pffl	total	0	Urbano	nacional	Trimestre	3	4	215
70818	54227251.0000039	6122566.01094643	186467.508706322	18002222.1849803	18733173.8806983	50583.42508694491	pffl	total	0	Nacional	13_ciudad	Trimestre	3	6	216
